Zone,1,2,3
t142,1054.5075557763876,0.32722117202268425,1054.5075557763876
t143,1054.5075557763876,0.32722117202268425,1054.5075557763876
t144,1054.5075557763876,0.32722117202268425,1054.5075557763876
t145,0.1,0.1,0.1
t146,0.1,0.1,0.1
t147,0.1,0.1,0.1
t148,0.1,0.1,0.1
t149,0.1,0.1,0.1
t150,0.32722117202268425,0.32722117202268425,0.32722117202268425
t151,0.1,0.1,0.1
t152,0.0,0.0,0.0
t153,0.0,0.0,0.0
t154,0.0,0.0,0.0
t155,0.0,0.0,0.0
t156,0.0,0.0,0.0
t157,0.0,0.0,0.0
t158,0.0,0.0,0.0
t159,0.0,8.637549540707982e-18,0.0
t160,0.0,0.0,0.0
t161,0.0,0.0,0.0
t162,0.1,0.1,0.1
t163,0.32722117202268425,0.32722117202268425,0.1
t164,0.32722117202268425,0.32722117202268425,0.32722117202268425
t165,0.32722117202268425,0.32722117202268425,0.1
t166,0.32722117202268425,0.32722117202268425,0.1
t167,0.32722117202268425,0.32722117202268425,0.1
t168,0.32722117202268425,0.32722117202268425,0.1
t169,0.3272211720226843,0.3272211720226843,0.3272211720226843
t170,0.32722117202268425,0.32722117202268425,0.32722117202268425
t171,0.3272211720226843,0.3272211720226843,0.3272211720226843
t172,0.32722117202268425,0.32722117202268425,0.32722117202268425
t173,0.3272211720226843,0.3272211720226843,0.3272211720226843
t174,0.3272211720226843,0.3272211720226843,0.3272211720226843
t175,0.3272211720226843,0.32722117202268425,0.3272211720226843
t176,0.09999999999999999,0.09999999999999999,0.09999999999999999
t177,0.0,0.0,0.0
t178,0.0,0.0,0.0
t179,0.0,0.0,0.0
t180,0.0,0.0,0.0
t181,0.0,0.0,0.0
t182,0.0,0.0,0.0
t183,0.0,0.0,0.0
t184,0.0,0.0,0.0
t185,0.0,0.0,0.0
t186,0.3272211720226843,0.3272211720226843,0.3272211720226843
t187,0.3272211720226843,0.32722117202268425,0.3272211720226843
t188,0.3272211720226843,0.3272211720226843,0.3272211720226843
t189,0.3272211720226843,0.3272211720226843,0.3272211720226843
t190,0.3272211720226843,0.32722117202268425,0.3272211720226843
t191,0.3272211720226843,0.3272211720226843,0.3272211720226843
t192,0.32722117202268425,0.32722117202268425,0.32722117202268425
t193,35381.41575299307,35381.41575299307,35381.41575299307
t194,35381.41575299307,35381.41575299307,35381.41575299307
t195,35381.41575299307,35381.41575299307,35381.41575299307
t196,35381.41575299307,35381.41575299307,35381.41575299307
t197,35381.41575299307,35381.41575299307,35381.41575299307
t198,35381.41575299307,35381.41575299307,35381.41575299307
t199,35381.41575299309,35381.41575299307,35381.41575299309
t200,35381.41575299307,35381.41575299307,35381.41575299307
t201,4079.8333333333344,4079.833333333335,4079.8333333333344
t202,0.0,0.0,0.0
t203,0.0,0.0,0.0
t204,0.0,0.0,0.0
t205,0.0,0.0,0.0
t206,0.0,0.0,0.0
t207,0.0,0.0,0.0
t208,4079.833333333335,4079.833333333335,4079.833333333335
t209,35381.41575299307,35381.41575299307,35381.41575299307
t210,35381.41575299307,35381.41575299307,35381.41575299307
t211,35381.41575299307,35381.41575299307,35381.41575299307
t212,35381.41575299307,35381.41575299307,35381.41575299307
t213,35381.41575299307,35381.41575299307,35381.41575299307
t214,35381.41575299307,35381.41575299307,35381.41575299307
t215,35381.41575299307,35381.41575299307,35381.41575299307
t216,35381.41575299307,35381.41575299307,35381.41575299307
t217,48772.32836535907,48772.32836535907,48772.32836535907
t218,48772.32836535907,48772.32836535907,48772.32836535907
t219,48772.32836535907,48772.32836535907,48772.32836535907
t220,48772.32836535907,48772.32836535907,48772.32836535907
t221,48772.32836535907,48772.32836535907,48772.32836535907
t222,48772.32836535907,48772.32836535907,48772.32836535907
t223,48772.32836535907,48772.32836535907,48772.32836535907
t224,48772.32836535907,48772.32836535907,48772.32836535907
t225,43715.3240498575,43715.3240498575,43715.3240498575
t226,41280.62176843992,41280.62176843992,41280.62176843992
t227,41280.62176843992,41280.62176843992,41280.62176843992
t228,41280.62176843992,41280.62176843992,41280.62176843992
t229,41280.62176843992,41280.62176843992,41280.62176843992
t230,41280.62176843992,41280.62176843992,41280.62176843992
t231,41280.62176843992,41280.62176843992,41280.62176843992
t232,41280.62176843992,41280.62176843992,41280.62176843992
t233,48772.32836535907,48772.32836535907,48772.32836535907
t234,48772.32836535907,48772.32836535907,48772.32836535907
t235,48772.32836535907,48772.32836535907,48772.32836535907
t236,48772.32836535907,48772.32836535907,48772.32836535907
t237,48772.32836535907,48772.32836535907,48772.32836535907
t238,48772.32836535908,48772.32836535907,48772.32836535908
t239,48772.32836535907,48772.32836535907,48772.32836535907
t240,48772.32836535907,48772.32836535907,48772.32836535907
