Resource,MA_natural_gas_combined_cycle,CT_natural_gas_combined_cycle,ME_natural_gas_combined_cycle,MA_solar_pv,CT_onshore_wind,CT_solar_pv,ME_onshore_wind,MA_battery,CT_battery,ME_battery
t81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6663.8548387833225,0.0,0.0
t82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17647.861697979082,3323.9394126791253,0.0
t83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17647.861697979082,3323.9394126791253,0.0
t84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28838.05643265817,17220.830142039795,0.0
t85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40028.25116733726,17220.830142039795,603.9075268853733
t86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47910.45330013722,17220.830142039795,603.9075268853733
t87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59100.64803481631,31117.720871400463,2843.52221693187
t88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69780.84459013834,31117.720871400463,2843.52221693187
t89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74970.87120345212,34724.68446517489,2843.52221693187
t90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70840.5491329396,34724.68446517489,2843.52221693187
t91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67480.30720433882,26063.0654571443,2843.52221693187
t92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56672.32002191319,26063.0654571443,2843.52221693187
t93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44928.02542091531,26063.0654571443,2843.52221693187
t94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41926.568784894065,19277.076413182127,2843.52221693187
t95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37864.85184019938,19277.076413182127,0.0
t96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32039.61166091854,19277.076413182127,0.0
t97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7150.584206900613,2337.6397475700087,0.0
t98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6482.299733698777,2337.6397475700087,0.0
t99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5418.336633762663,2337.6397475700087,0.0
t100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5418.336633762663,0.0,0.0
t101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,671.004875744004,0.0,0.0
t102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,671.004875744004,0.0,0.0
t103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10519.450433772225,0.0,0.0
t107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15757.782878766848,0.0,0.0
t108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26947.977613445935,0.0,1324.8564668961214
t109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28048.46702425338,1932.92,1324.8564668961214
t110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39238.66175893247,15829.81072936067,1324.8564668961214
t111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39238.66175893247,17270.919347032745,3300.0964668961215
t112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45357.1547860708,17270.919347032745,3300.0964668961215
t113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47661.97220430209,17270.919347032745,3300.0964668961215
t114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47661.97220430209,17270.919347032745,1816.5668935920505
t115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44733.39709123227,11397.382641076463,0.0
t116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35043.73669227689,11397.382641076463,0.0
t117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28692.752745537517,2337.6397475700087,0.0
t118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19125.871910434063,2337.6397475700087,0.0
t119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13180.3213981374,2337.6397475700087,0.0
t120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10238.220831551744,2337.6397475700087,0.0
t121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12446.472545993245,23193.09036879307,7336.960268092846
t122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7780.484138260396,20441.58266585721,7336.960268092846
t123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6681.445254622095,19584.839500384565,4493.438051160976
t124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3251.6629150875033,16214.225780748704,4493.438051160976
t125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2880.920740205187,11141.616060634824,1649.9158342291062
t126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3801.1855360623076,1649.9158342291062
t127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1249.090875583516,0.0,0.0
t129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4211.072909009951,0.0,2406.757204411135
t130,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12372.109401384372,2797.386773835248,2960.210871791311
t131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21166.389601897867,16694.277503195917,5366.968076202445
t132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32356.584336576954,16694.277503195917,5366.968076202445
t133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41957.45510527116,16694.277503195917,5366.968076202445
t134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52339.31378048571,30591.168232556585,5366.968076202445
t135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59443.25855438398,44488.05896191725,7773.72528061358
t136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62850.0010232877,44488.05896191725,10180.482485024715
t137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64260.64843215719,52981.68442438986,10180.482485024715
t138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59126.83315363164,52981.68442438986,10180.482485024715
t139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53799.69433215642,50494.26278805894,7336.960268092846
t140,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44328.89603576837,42482.87608627982,7336.960268092846
t141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35480.246531660516,37141.31577539023,7336.960268092846
t142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27691.766031857907,32684.57116219368,7336.960268092846
t143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22484.304090033176,28636.190667311632,7336.960268092846
t144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18332.650591248486,27821.721746374882,7336.960268092846
t145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.09645026909263,0.0,0.0
t146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.09645026909263,0.0,0.0
t147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.09645026909263,0.0,0.0
t148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.09645026909263,0.0,0.0
t149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.09645026909263,0.0,0.0
t150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3008.6885070793305,0.0,0.0
t155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3008.6885070793305,0.0,0.0
t156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3008.6885070793305,0.0,0.0
t157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3008.6885070793305,0.0,0.0
t158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3008.6885070793305,0.0,0.0
t159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4486.622863375349,2733.32,0.0
t160,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4486.622863375349,2733.32,0.0
t161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4486.622863375349,2733.32,0.0
t162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4486.622863375349,2733.32,0.0
t163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2404.3904277365455,2733.32,0.0
t164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1264.6216762831607,2733.32,0.0
t165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,789.833638203929,2733.32,0.0
t166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,411.0578920457407,2733.32,0.0
t167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,411.0578920457407,774.5276237415113,0.0
t168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.09645026909263,0.0,0.0
t169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16046.378329838735,22720.743083302277,4571.980445385856
t170,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16046.378329838735,19841.575657077898,1728.4582284539865
t171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10214.539416048032,19841.575657077898,1728.4582284539865
t172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10214.539416048032,13045.078810206334,1728.4582284539865
t173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10214.539416048032,8354.558387919336,0.0
t174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2196.892173824165,8354.558387919336,0.0
t175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3557.359844582812,6253.256525491094,0.0
t178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3557.359844582812,6253.256525491094,0.0
t179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3557.359844582812,20150.147254851763,2165.223240974721
t180,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13157.463688088294,20150.147254851763,2165.223240974721
t181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24347.65842276738,34047.03798421243,2165.223240974721
t182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32027.95455591302,34047.03798421243,2165.223240974721
t183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36962.06906107995,34047.03798421243,4571.980445385856
t184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40559.31815873542,34047.03798421243,4571.980445385856
t185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46000.10555377033,41283.24244491235,4571.980445385856
t186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43724.52984991392,41283.24244491235,4571.980445385856
t187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41334.590177764454,33539.87511676943,4571.980445385856
t188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32834.07665061641,33539.87511676943,4571.980445385856
t189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25525.192350639565,33539.87511676943,4571.980445385856
t190,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25409.905881189636,27011.525853973126,4571.980445385856
t191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21680.590143141642,27011.525853973126,4571.980445385856
t192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21680.590143141642,22720.743083302277,4571.980445385856
t193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24129.056810842303,38818.70461802949,7732.5333510068
t194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21865.756533035896,30331.23309855142,7732.5333510068
t195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21865.756533035896,22628.91276015702,4889.011134074931
t196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21865.756533035896,14194.663334028137,2843.52221693187
t197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11266.352420174735,14194.663334028137,2843.52221693187
t198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,335.8013834765898,14194.663334028137,2843.52221693187
t199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,335.8013834765898,5522.309716905821,0.0
t200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7829.702795377569,7278.377981660164,0.0
t202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19019.897530056667,21175.268711020835,2406.757204411135
t203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30210.092264735755,35072.1594403815,4813.51440882227
