Resource,MA_natural_gas_combined_cycle,CT_natural_gas_combined_cycle,ME_natural_gas_combined_cycle,MA_solar_pv,CT_onshore_wind,CT_solar_pv,ME_onshore_wind,MA_battery,CT_battery,ME_battery
Zone,1,2,3,1,2,2,3,1,2,3
t42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9539.377874758866,-9539.377874758866,-7001.11363685007
t43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9539.377874758866,-9539.377874758866,-7001.11363685007
t44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9539.377874758866,-9539.377874758866,-7001.11363685007
t45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9539.377874758866,-9539.377874758866,-7001.11363685007
t46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9539.377874758866,-9539.377874758866,-7001.11363685007
t47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9539.377874758866,-9539.377874758866,-7001.11363685007
t48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9539.377874758866,-9539.377874758866,-7001.11363685007
t49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16304347826086954,-0.16304347826086954,-0.16304347826086954
t50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16304347826086954,-0.16304347826086954,-0.16304347826086954
t51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16304347826086954,-0.16304347826086954,-0.16304347826086954
t52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16304347826086954,-0.16304347826086954,-0.16304347826086954
t53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16304347826086954,-0.16304347826086954,-0.16304347826086954
t54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16304347826086954,-0.16304347826086954,-0.16304347826086954
t55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16304347826086954,-0.16304347826086954,-0.16304347826086954
t56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16304347826086954,-0.16304347826086954,-0.16304347826086954
t57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16304347826086954,-0.16304347826086954,-0.16304347826086954
t58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16304347826086954,-0.16304347826086954,-0.16304347826086954
t59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16304347826086954,-0.16304347826086954,-0.16304347826086954
t60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16304347826086954,-0.16304347826086954,-0.16304347826086954
t61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16304347826086954,-0.16304347826086954,-0.16304347826086954
t62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16304347826086954,-0.16304347826086954,-0.16304347826086954
t63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16304347826086954,-0.16304347826086954,-0.16304347826086954
t64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16304347826086954,-0.16304347826086954,-0.16304347826086954
t65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16304347826086954,-0.16304347826086954,-0.16304347826086954
t66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16304347826086954,-0.16304347826086954,-0.16304347826086954
t67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16304347826086954,-0.16304347826086954,-0.16304347826086954
t68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16304347826086954,-0.16304347826086954,-0.16304347826086954
t69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16304347826086954,-0.16304347826086954,-0.16304347826086954
t70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16304347826086954,-0.16304347826086954,-0.16304347826086954
t71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16304347826086954,-0.16304347826086954,-0.16304347826086954
t72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16304347826086954,-0.16304347826086954,-0.16304347826086954
t73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16304347826086957,-0.16304347826086957,-0.16304347826086957
t74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16304347826086957,-0.16304347826086957,-0.16304347826086957
t75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16304347826086957,-0.16304347826086957,-0.16304347826086957
t76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16304347826086957,-0.16304347826086957,-0.16304347826086957
t77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16304347826086957,-0.16304347826086957,-0.16304347826086957
t78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16304347826086957,-0.16304347826086957,-0.16304347826086957
t79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16304347826086957,-0.16304347826086957,-0.16304347826086957
t80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16304347826086957,-0.16304347826086957,-0.16304347826086957
t81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16304347826086957,-0.16304347826086957,-0.16304347826086957
