Time_Index,E_z1,E_z2,E_z3,H2_z1,H2_z2,H2_z3
48,8304,2372,1132,119.302245,701.618013,264.277125
49,7776,2221,1060,51.043239,299.614752,112.959594
50,7513,2145,1024,37.451844,219.878568,82.756494
51,7386,2109,1007,52.553394,309.581775,116.583966
52,7401,2114,1009,122.322555,719.437842,270.921807
53,7667,2189,1045,263.069001,1548.512937,583.221861
54,8455,2414,1152,422.8434,2487.829347,936.900162
55,9848,2812,1343,523.117692,3077.091828,1158.892947
56,10629,3035,1449,599.531535,3526.815987,1328.030307
57,10761,3073,1467,631.546821,3716.793486,1399.611654
58,10835,3094,1477,604.364031,3556.717056,1339.507485
59,10932,3122,1490,601.04169,3536.78301,1331.95671
60,10950,3127,1493,623.089953,3666.65634,1380.885732
61,10905,3115,1487,662.353983,3896.501931,1467.266598
62,10890,3111,1484,687.724587,4046.309307,1523.746395
63,10849,3098,1479,743.600322,4376.127159,1647.881136
64,10999,3141,1499,789.509034,4645.840842,1749.665583
65,11858,3386,1616,767.460771,4515.967512,1700.736561
66,12796,3654,1745,721.552059,4246.253829,1598.952114
67,12821,3661,1748,594.397008,3496.914918,1316.85516
68,12605,3600,1719,436.434795,2567.565531,967.103262
69,12195,3483,1663,315.924426,1858.396743,699.805827
70,11476,3277,1565,237.698397,1398.705561,526.742064
71,10515,3003,1434,141.048477,829.377126,312.300054
72,9674,2763,1319,79.736184,469.658205,176.688135
73,9151,2614,1247,53.157456,312.904116,117.79209
74,8876,2535,1210,38.961999,229.54356,86.380866
75,8736,2495,1191,54.969642,323.475201,121.718493
76,8752,2499,1193,127.759113,751.151097,282.701016
77,8990,2568,1226,274.84821,1617.073974,608.894496
78,9733,2780,1327,441.569322,2597.4666,978.278409
79,11084,3166,1511,546.072048,3213.005778,1209.936186
80,11820,3376,1611,625.808232,3682.361952,1386.624321
81,11834,3380,1614,659.635704,3880.494288,1461.528009
82,11803,3371,1609,631.24479,3713.773176,1398.40353
83,11777,3363,1605,627.620418,3692.933037,1390.550724
84,11661,3330,1590,650.574774,3828.544956,1441.895994
85,11494,3283,1567,691.348959,4068.35757,1532.203263
86,11395,3255,1554,717.927687,4224.809628,1591.099308
87,11306,3229,1541,776.521701,4569.124968,1720.670607
88,11423,3262,1557,824.54463,4850.919891,1826.683488
89,12221,3491,1666,801.288243,4715.307972,1775.640249
90,12871,3676,1755,753.567345,4433.513049,1669.627368
91,12772,3647,1741,620.371674,3651.252759,1374.845112
92,12474,3562,1701,455.764779,2680.827156,1009.689633
93,11997,3426,1635,329.817852,1940.247144,730.612989
94,11207,3201,1528,248.269482,1460.319885,549.998451
95,10201,2914,1391,147.089097,865.922877,326.19348
96,9270,2648,1264,83.360556,490.196313,184.540941
97,8676,2478,1182,56.177766,330.723945,124.436772
98,8358,2387,1140,41.076216,242.530893,91.213362
99,8198,2341,1117,57.989952,341.597061,128.665206
100,8168,2333,1114,134.705826,793.435437,298.708659
101,8378,2393,1142,290.251791,1707.985305,643.32603
