cement_1_co2,cement_2_co2,dac_1_co2,dac_2_co2,dac_3_co2,ng_1_co2,ng_2_co2,ng_3_co2
0.13119495813861903,0.02410886871425692,2.6459562585304465e-5,2.679620910478898e-5,2.679620910478898e-5,2.068424917399522,0.2161122429499226,0.0029830548608457646
0.1311946360064002,0.024109489780070055,2.643456628746138e-5,2.6869748468054827e-5,2.6869748468054827e-5,2.0223349229390393,0.21644240180823301,0.0029862175124317453
0.13119642167135995,0.024107627855084395,2.641775478035678e-5,2.6825629534577013e-5,2.6825629534577013e-5,1.967184160429963,0.21583003873198253,0.002989076474114773
0.13116601939746916,0.0241421259262388,2.6338818586122573e-5,2.6896844661393944e-5,2.6896844661393944e-5,1.9322208086932682,0.21604448819979383,0.0030008142096407905
0.13118259636673163,0.024126183314307267,2.631039351219261e-5,2.7001217282807016e-5,2.7001217282807016e-5,1.9415414306339938,0.216336168827108,0.0030089708159440304
0.13115693273274528,0.024151263641609876,2.6111445911370434e-5,2.7132553950366362e-5,2.7132553950366362e-5,2.004240570783613,0.2164238812224476,0.0030151414638042748
0.1312663410433861,0.0240324216333919,2.5798387450986875e-5,2.677543641984283e-5,2.677543641984283e-5,2.112524186392516,0.21671593608424955,0.003024145251384563
0.13127206360714294,0.024024550075114948,2.5753879997273655e-5,2.681173683151274e-5,2.681173683151274e-5,2.305901967091789,0.2168718767044471,0.00301117008020359
0.13130073995089436,0.023996896551739814,2.5870704264338072e-5,2.7077773834292175e-5,2.7077773834292175e-5,2.2671829665613252,0.21663155533207573,0.0030124710681646875
0.1313002747824356,0.0239984376157356,2.5959095725912904e-5,2.7150131787684043e-5,2.7150131787684043e-5,2.1167350916571817,0.2162621849258016,0.003016360983410573
0.13130773383423305,0.023991191810081088,2.6091161994748153e-5,2.7230964855880595e-5,2.7230964855880595e-5,1.9229081428076058,0.21587311066132042,0.003016058772558604
0.13131755414665078,0.023981286874591612,2.625228573402447e-5,2.732326857777605e-5,2.732326857777605e-5,1.7203518499879968,0.21554361203094308,0.0030136717273804904
0.1313269715169033,0.02397145808555731,2.638828042831842e-5,2.740192193003507e-5,2.740192193003507e-5,1.5933479291493633,0.21533524082464683,0.0030089654528298593
0.13133300497194994,0.023965177043925468,2.6476798502384672e-5,2.7455136509886803e-5,2.7455136509886803e-5,1.5194516943163099,0.21522806417822501,0.0030050847227667413
0.1313348946252635,0.02396328124073728,2.6511464171753206e-5,2.7475400207522216e-5,2.7475400207522216e-5,1.4916151827174722,0.21520705214248023,0.0030038959085229066
0.13133076717245684,0.02396783287305742,2.6493243829304273e-5,2.7458476874481588e-5,2.7458476874481588e-5,1.4953512797905615,0.21526099010978242,0.003006429355647
0.13131976013680902,0.023979676768801673,2.641653162353955e-5,2.7397372255562915e-5,2.7397372255562915e-5,1.5460376313443143,0.2153919783505462,0.003010309122430043
0.13131078044249223,0.02398867013602301,2.6285700856160474e-5,2.726901105745628e-5,2.726901105745628e-5,1.7285211224941914,0.21567183742766022,0.003008129377395393
0.131275296384396,0.02402254726161574,2.606232850856198e-5,2.688323499041163e-5,2.688323499041163e-5,2.072784281244814,0.2162208999155115,0.0029966277628091158
0.13121611986846887,0.02408759432348916,2.6416358530539664e-5,2.6980306042733188e-5,2.6980306042733188e-5,2.272080148315869,0.2166442039666469,0.0029937506235885505
0.13120662394909197,0.0240981247261217,2.6573700960862354e-5,2.6915659844782254e-5,2.6915659844782254e-5,2.2987855957123617,0.2169640998225269,0.0029947860669084884
0.1311450756798025,0.024162180600484254,2.6361208343689252e-5,2.7059984075472104e-5,2.7059984075472104e-5,2.2887050649534437,0.2173139319943216,0.0029908964703681653
