Time_Index,Demand_MW_z1,Demand_MW_z2,Demand_MW_z3,Demand_H2_z1,Demand_H2_z2,Demand_H2_z3,Demand_Zero
275,137999,105025,41131,31937.18,30440.74,15988.28,0
276,137375,104775,41306,31937.18,30440.74,15988.28,0
277,136880,104189,41248,31937.18,30440.74,15988.28,0
278,136582,103493,41176,31937.18,30440.74,15988.28,0
279,136391,102687,40825,31937.18,30440.74,15988.28,0
280,136726,102619,40931,31937.18,30440.74,15988.28,0
281,138953,104823,42756,31937.18,30440.74,15988.28,0
282,145560,110900,44988,31937.18,30440.74,15988.28,0
283,156528,113586,44700,31937.18,30440.74,15988.28,0
284,158223,112453,43217,31937.18,30440.74,15988.28,0
285,156506,110589,41259,31937.18,30440.74,15988.28,0
286,151549,106792,38634,31937.18,30440.74,15988.28,0
287,143592,100948,35286,31937.18,30440.74,15988.28,0
288,135095,94680,32146,31937.18,30440.74,15988.28,0
289,128942,90350,29936,31937.18,30440.74,15988.28,0
290,126760,88073,28725,31937.18,30440.74,15988.28,0
291,126842,87478,28086,31937.18,30440.74,15988.28,0
292,128195,88157,27868,31937.18,30440.74,15988.28,0
293,132248,90710,28378,31937.18,30440.74,15988.28,0
294,141877,97162,30645,31937.18,30440.74,15988.28,0
295,158016,107644,35153,31937.18,30440.74,15988.28,0
296,169105,115571,38406,31937.18,30440.74,15988.28,0
297,169655,116971,39318,31937.18,30440.74,15988.28,0
298,167667,117800,39982,31937.18,30440.74,15988.28,0
299,165395,118646,40442,31937.18,30440.74,15988.28,0
300,161376,118622,40594,31937.18,30440.74,15988.28,0
301,157010,117939,40536,31937.18,30440.74,15988.28,0
302,152780,116953,40614,31937.18,30440.74,15988.28,0
303,149135,115876,40480,31937.18,30440.74,15988.28,0
304,146731,115532,40897,31937.18,30440.74,15988.28,0
305,148422,117442,42949,31937.18,30440.74,15988.28,0
306,156118,123798,45584,31937.18,30440.74,15988.28,0
307,167095,125578,45427,31937.18,30440.74,15988.28,0
308,167719,123148,43965,31937.18,30440.74,15988.28,0
309,166218,120728,42203,31937.18,30440.74,15988.28,0
310,162190,116948,40107,31937.18,30440.74,15988.28,0
311,156388,111654,37405,31937.18,30440.74,15988.28,0
312,150193,105521,34623,31937.18,30440.74,15988.28,0
313,144740,100916,32481,31937.18,30440.74,15988.28,0
314,142352,98134,31136,31937.18,30440.74,15988.28,0
315,141992,96752,30271,31937.18,30440.74,15988.28,0
316,142976,96113,29938,31937.18,30440.74,15988.28,0
317,146173,96682,30099,31937.18,30440.74,15988.28,0
318,151352,98913,30927,31937.18,30440.74,15988.28,0
319,159436,102697,32685,31937.18,30440.74,15988.28,0
320,167639,106944,34505,31937.18,30440.74,15988.28,0
321,173116,109939,36580,31937.18,30440.74,15988.28,0
322,170598,111325,38238,31937.18,30440.74,15988.28,0
323,164166,111184,38992,31937.18,30440.74,15988.28,0
324,155834,109763,39103,31937.18,30440.74,15988.28,0
325,147974,107703,38780,31937.18,30440.74,15988.28,0
326,140994,105648,38402,31937.18,30440.74,15988.28,0
327,135800,104047,38089,31937.18,30440.74,15988.28,0
328,133152,103834,38344,31937.18,30440.74,15988.28,0
329,134375,106484,40362,31937.18,30440.74,15988.28,0
330,141511,112938,43566,31937.18,30440.74,15988.28,0
331,154186,116186,43821,31937.18,30440.74,15988.28,0
332,156129,115067,42702,31937.18,30440.74,15988.28,0
333,156019,113343,41196,31937.18,30440.74,15988.28,0
334,153959,110872,39682,31937.18,30440.74,15988.28,0
335,149829,106610,37760,31937.18,30440.74,15988.28,0
336,143901,101661,35487,31937.18,30440.74,15988.28,0
337,138950,97448,33513,31937.18,30440.74,15988.28,0
338,136884,95151,32329,31937.18,30440.74,15988.28,0
339,136300,93686,31634,31937.18,30440.74,15988.28,0
340,137452,93496,31454,31937.18,30440.74,15988.28,0
341,139773,94237,31650,31937.18,30440.74,15988.28,0
342,144226,96328,32350,31937.18,30440.74,15988.28,0
343,151024,99735,33727,31937.18,30440.74,15988.28,0
344,159359,103599,35132,31937.18,30440.74,15988.28,0
345,164929,106309,37096,31937.18,30440.74,15988.28,0
346,160076,107281,38724,31937.18,30440.74,15988.28,0
347,150320,106491,39750,31937.18,30440.74,15988.28,0
348,141251,105060,40206,31937.18,30440.74,15988.28,0
349,134723,103797,40310,31937.18,30440.74,15988.28,0
350,129585,102070,40087,31937.18,30440.74,15988.28,0
351,125108,100587,39844,31937.18,30440.74,15988.28,0
352,122899,100449,40066,31937.18,30440.74,15988.28,0
353,123753,103558,42015,31937.18,30440.74,15988.28,0
354,130766,111726,45273,31937.18,30440.74,15988.28,0
355,144271,116767,45573,31937.18,30440.74,15988.28,0
356,147444,116787,44703,31937.18,30440.74,15988.28,0
357,148714,116223,43703,31937.18,30440.74,15988.28,0
358,146595,113524,41845,31937.18,30440.74,15988.28,0
359,142798,109615,39537,31937.18,30440.74,15988.28,0
360,137805,105283,37050,31937.18,30440.74,15988.28,0
361,133756,101936,35143,31937.18,30440.74,15988.28,0
362,132336,100065,33957,31937.18,30440.74,15988.28,0
363,132220,99646,33355,31937.18,30440.74,15988.28,0
364,133422,100287,33263,31937.18,30440.74,15988.28,0
365,136562,102411,33811,31937.18,30440.74,15988.28,0
366,143136,107238,35502,31937.18,30440.74,15988.28,0
367,152547,114471,38408,31937.18,30440.74,15988.28,0
368,160497,119837,40781,31937.18,30440.74,15988.28,0
369,162090,120856,42406,31937.18,30440.74,15988.28,0
370,159037,119554,43650,31937.18,30440.74,15988.28,0
371,154461,118043,44243,31937.18,30440.74,15988.28,0
372,149309,116027,44058,31937.18,30440.74,15988.28,0
373,144680,113504,43536,31937.18,30440.74,15988.28,0
374,140415,111810,43095,31937.18,30440.74,15988.28,0
375,137408,110721,42581,31937.18,30440.74,15988.28,0
376,135283,110517,42588,31937.18,30440.74,15988.28,0
377,135454,112666,44261,31937.18,30440.74,15988.28,0
378,141196,118701,47225,31937.18,30440.74,15988.28,0
379,150310,119802,46924,31937.18,30440.74,15988.28,0
380,150341,118175,45847,31937.18,30440.74,15988.28,0
381,146785,115020,43982,31937.18,30440.74,15988.28,0
382,139757,109698,41179,31937.18,30440.74,15988.28,0
383,131097,102803,37862,31937.18,30440.74,15988.28,0
384,121612,95620,34598,31937.18,30440.74,15988.28,0
385,114006,90002,32286,31937.18,30440.74,15988.28,0
386,110178,86835,30881,31937.18,30440.74,15988.28,0
387,108514,85212,30147,31937.18,30440.74,15988.28,0
388,108875,84859,29943,31937.18,30440.74,15988.28,0
389,111631,86486,30534,31937.18,30440.74,15988.28,0
390,119396,92045,32693,31937.18,30440.74,15988.28,0
391,134732,101864,37059,31937.18,30440.74,15988.28,0
392,144017,108273,40042,31937.18,30440.74,15988.28,0
393,141576,108890,40745,31937.18,30440.74,15988.28,0
394,138165,108661,41071,31937.18,30440.74,15988.28,0
395,136458,108601,41328,31937.18,30440.74,15988.28,0
396,134880,108233,41377,31937.18,30440.74,15988.28,0
397,133327,107232,41378,31937.18,30440.74,15988.28,0
398,132146,106314,41381,31937.18,30440.74,15988.28,0
399,130466,104901,41266,31937.18,30440.74,15988.28,0
400,129339,103576,41504,31937.18,30440.74,15988.28,0
401,130525,105382,43193,31937.18,30440.74,15988.28,0
402,135443,111516,45508,31937.18,30440.74,15988.28,0
403,144011,113792,45093,31937.18,30440.74,15988.28,0
404,144475,112225,43673,31937.18,30440.74,15988.28,0
405,140598,109693,41547,31937.18,30440.74,15988.28,0
406,134391,105252,38906,31937.18,30440.74,15988.28,0
407,125576,98786,35544,31937.18,30440.74,15988.28,0
408,116275,92061,32377,31937.18,30440.74,15988.28,0
409,109320,87103,30219,31937.18,30440.74,15988.28,0
410,106271,84795,29012,31937.18,30440.74,15988.28,0
411,105127,84025,28343,31937.18,30440.74,15988.28,0
412,105981,84601,28188,31937.18,30440.74,15988.28,0
413,109165,86918,28949,31937.18,30440.74,15988.28,0
414,117803,93334,31479,31937.18,30440.74,15988.28,0
415,134110,104350,36263,31937.18,30440.74,15988.28,0
416,145356,111489,39234,31937.18,30440.74,15988.28,0
417,145244,111784,39931,31937.18,30440.74,15988.28,0
418,144747,111527,40417,31937.18,30440.74,15988.28,0
419,144151,111382,40782,31937.18,30440.74,15988.28,0
420,142388,110704,40854,31937.18,30440.74,15988.28,0
421,139895,109909,40700,31937.18,30440.74,15988.28,0
422,137733,109088,40705,31937.18,30440.74,15988.28,0
423,136049,108182,40538,31937.18,30440.74,15988.28,0
424,134934,108283,40884,31937.18,30440.74,15988.28,0
425,136892,111384,42884,31937.18,30440.74,15988.28,0
426,143858,118957,46607,31937.18,30440.74,15988.28,0
427,156405,123446,47084,31937.18,30440.74,15988.28,0
428,158589,123087,46028,31937.18,30440.74,15988.28,0
429,156630,121065,44235,31937.18,30440.74,15988.28,0
430,152155,117238,41808,31937.18,30440.74,15988.28,0
431,144962,111341,38594,31937.18,30440.74,15988.28,0
432,136404,105019,35535,31937.18,30440.74,15988.28,0
433,130377,100672,33505,31937.18,30440.74,15988.28,0
434,128045,98820,32449,31937.18,30440.74,15988.28,0
435,127988,98032,31947,31937.18,30440.74,15988.28,0
436,129573,98669,31893,31937.18,30440.74,15988.28,0
437,133703,101392,32665,31937.18,30440.74,15988.28,0
438,143852,107951,35168,31937.18,30440.74,15988.28,0
439,161387,118930,40035,31937.18,30440.74,15988.28,0
440,172256,125296,42863,31937.18,30440.74,15988.28,0
441,169370,124109,43295,31937.18,30440.74,15988.28,0
442,162489,121081,43331,31937.18,30440.74,15988.28,0
443,155714,119031,43331,31937.18,30440.74,15988.28,0
444,149342,116643,42988,31937.18,30440.74,15988.28,0
445,143573,114640,42548,31937.18,30440.74,15988.28,0
446,139429,113271,42273,31937.18,30440.74,15988.28,0
447,136300,112180,41986,31937.18,30440.74,15988.28,0
448,134400,112310,42370,31937.18,30440.74,15988.28,0
449,135349,115109,44297,31937.18,30440.74,15988.28,0
450,140728,121257,47189,31937.18,30440.74,15988.28,0
451,152260,124637,47132,31937.18,30440.74,15988.28,0
452,154542,123581,45983,31937.18,30440.74,15988.28,0
453,152354,121344,43960,31937.18,30440.74,15988.28,0
454,147442,117086,41346,31937.18,30440.74,15988.28,0
455,139328,109984,38006,31937.18,30440.74,15988.28,0
456,130215,103300,34775,31937.18,30440.74,15988.28,0
457,123226,98646,32623,31937.18,30440.74,15988.28,0
458,120072,96171,31344,31937.18,30440.74,15988.28,0
459,118793,95233,30707,31937.18,30440.74,15988.28,0
460,119175,95479,30562,31937.18,30440.74,15988.28,0
461,121891,97896,31282,31937.18,30440.74,15988.28,0
462,129622,103946,33573,31937.18,30440.74,15988.28,0
463,144500,114107,38203,31937.18,30440.74,15988.28,0
464,153477,120790,41058,31937.18,30440.74,15988.28,0
465,150763,120880,41704,31937.18,30440.74,15988.28,0
466,146142,120012,42096,31937.18,30440.74,15988.28,0
467,142711,119111,42282,31937.18,30440.74,15988.28,0
468,139581,117441,42203,31937.18,30440.74,15988.28,0
469,136873,115820,41846,31937.18,30440.74,15988.28,0
470,135586,114636,41604,31937.18,30440.74,15988.28,0
471,134019,113543,41181,31937.18,30440.74,15988.28,0
472,133206,113431,41245,31937.18,30440.74,15988.28,0
473,133720,115333,42862,31937.18,30440.74,15988.28,0
474,137061,121038,46012,31937.18,30440.74,15988.28,0
475,142927,122859,46037,31937.18,30440.74,15988.28,0
476,141380,120740,44703,31937.18,30440.74,15988.28,0
477,137047,118051,43042,31937.18,30440.74,15988.28,0
478,131735,114284,41072,31937.18,30440.74,15988.28,0
479,124890,108877,38463,31937.18,30440.74,15988.28,0
