BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
Zone,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3
t41,3650.3708255124343,0.0,-0.0,0.0,0.0,0.0,0.0,6945.629174487565,-0.0,-10596.0,8816.094217413018,0.0,-0.0,0.0,0.0,0.0,0.0,-5790.094217413018,-0.0,-3026.0,2599.5349570745475,0.0,-0.0,0.0,0.0,0.0,0.0,-1155.5349570745475,-0.0,-1444.0
t42,0.0,1615.0,-0.0,0.0,0.0,0.0,0.0,9900.0,-0.0,-11515.0,1804.9458474199141,7384.054152580085,-0.0,0.0,0.0,0.0,0.0,-5900.0,-0.0,-3289.0,5570.0,0.0,-0.0,0.0,0.0,0.0,0.0,-4000.0,-0.0,-1570.0
t43,0.0,1514.0,-0.0,0.0,0.0,0.0,0.0,9900.0,-0.0,-11414.0,1376.1836701081263,7783.8163298918735,-0.0,0.0,0.0,0.0,0.0,-5900.0,-0.0,-3260.0,5556.0,0.0,-0.0,0.0,0.0,0.0,0.0,-4000.0,-0.0,-1556.0
t44,0.0,8043.0391631697385,-0.0,0.0,0.0,0.0,0.0,3094.9608368302615,-0.0,-11138.0,463.40321749714406,1812.5576193331176,-0.0,0.0,0.0,0.0,0.0,905.0391631697385,-0.0,-3181.0,5519.0,0.0,-0.0,0.0,0.0,0.0,0.0,-4000.0,-0.0,-1519.0
t45,0.0,8043.0391631697385,-0.0,0.0,0.0,0.0,0.0,2644.9608368302615,-0.0,-10688.0,1191.3629496585995,505.597887171662,-0.0,0.0,0.0,0.0,0.0,1355.0391631697385,-0.0,-3052.0,5457.0,0.0,-0.0,0.0,0.0,0.0,0.0,-4000.0,-0.0,-1457.0
t46,0.0,79.0,-0.0,0.0,0.0,0.0,0.0,9900.0,-0.0,-9979.0,1489.6698731210213,7260.330126878978,-0.0,0.0,0.0,0.0,0.0,-5900.0,-0.0,-2850.0,5360.0,0.0,-0.0,0.0,0.0,0.0,0.0,-4000.0,-0.0,-1360.0
t47,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,9100.0,-0.0,-9100.0,1360.6677473421146,6338.332252657885,-0.0,0.0,0.0,0.0,0.0,-5100.0,-0.0,-2599.0,5241.0,0.0,-0.0,0.0,0.0,0.0,0.0,-4000.0,-0.0,-1241.0
t48,0.0,5199.8846488867,-0.0,0.0,0.0,0.0,0.0,3104.1153511132993,-0.0,-8304.0,1476.1153511132993,0.0,-0.0,0.0,0.0,0.0,0.0,895.8846488867007,-0.0,-2372.0,5132.0,0.0,-0.0,0.0,0.0,0.0,0.0,-4000.0,-0.0,-1132.0
t49,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,7776.0,-0.0,-7776.0,1593.550255909398,4403.449744090602,-0.0,0.0,0.0,0.0,0.0,-3776.0,-0.0,-2221.0,5060.0,0.0,-0.0,0.0,0.0,0.0,0.0,-4000.0,-0.0,-1060.0
t50,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,7513.0,-0.0,-7513.0,1776.998779509047,3881.001220490953,-0.0,0.0,0.0,0.0,0.0,-3513.0,-0.0,-2145.0,5024.0,0.0,-0.0,0.0,0.0,0.0,0.0,-4000.0,-0.0,-1024.0
