BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
Zone,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3
AnnualSum,5.340247825844384e7,8.49355445874415e6,-1.0034917838780902e7,0.0,0.0,0.0,0.0,3.063319912159286e7,0.0,-8.2494314e7,4.7948515484941944e7,2.406755339644212e7,-2.8435200137573138e7,0.0,0.0,0.0,0.0,-2.001679274381089e7,0.0,-2.3564076e7,2.2114734880385228e7,1.3892284049704694e6,-1.6413379075738043e6,0.0,0.0,0.0,0.0,-1.0616406377781883e7,0.0,-1.1246219e7
t28,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,6476.0,-0.0,-6476.0,2229.4403648118578,2095.5596351881422,-0.0,0.0,0.0,0.0,0.0,-2476.0,-0.0,-1849.0,4883.0,0.0,-0.0,0.0,0.0,0.0,0.0,-4000.0,-0.0,-883.0
t29,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,6618.0,-0.0,-6618.0,1644.0157356776003,2863.9842643223997,-0.0,0.0,0.0,0.0,0.0,-2618.0,-0.0,-1890.0,4902.0,0.0,-0.0,0.0,0.0,0.0,0.0,-4000.0,-0.0,-902.0
t30,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,6980.0,-0.0,-6980.0,1771.2468486077812,3201.7531513922186,-0.0,0.0,0.0,0.0,0.0,-2980.0,-0.0,-1993.0,4951.0,0.0,-0.0,0.0,0.0,0.0,0.0,-4000.0,-0.0,-951.0
t31,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,7523.0,-0.0,-7523.0,1928.3959895625655,3742.604010437434,-0.0,0.0,0.0,0.0,0.0,-3523.0,-0.0,-2148.0,5025.0,0.0,-0.0,0.0,0.0,0.0,0.0,-4000.0,-0.0,-1025.0
t32,0.0,5525.325751510638,-0.0,0.0,0.0,0.0,0.0,2442.674248489362,-0.0,-7968.0,717.6742484893623,0.0,-0.0,0.0,0.0,0.0,0.0,1557.3257515106377,-0.0,-2275.0,5086.0,0.0,-0.0,0.0,0.0,0.0,0.0,-4000.0,-0.0,-1086.0
t33,5823.123948973006,0.0,-0.0,0.0,0.0,0.0,0.0,2689.876051026994,-0.0,-8513.0,6281.876051026994,0.0,-0.0,0.0,0.0,0.0,0.0,-3850.876051026994,-0.0,-2431.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,1161.0,-0.0,-1161.0
t34,12439.648535993585,0.0,-0.0,0.0,0.0,0.0,0.0,-3367.648535993585,-0.0,-9072.0,459.351464006415,0.0,-0.0,0.0,0.0,0.0,0.0,2131.648535993585,-0.0,-2591.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,1236.0,-0.0,-1236.0
t35,18022.568622071452,0.0,-0.0,0.0,0.0,0.0,0.0,-8540.568622071452,-0.0,-9482.0,23085.89750393563,0.0,-26277.89750393563,0.0,0.0,0.0,0.0,5900.0,-0.0,-2708.0,0.0,0.0,-1348.5686220714524,0.0,0.0,0.0,0.0,2640.5686220714524,-0.0,-1292.0
t36,20577.46425468336,0.0,-3711.46425468336,0.0,0.0,0.0,0.0,-7216.0,-0.0,-9650.0,23132.89750393563,0.0,-26277.89750393563,0.0,0.0,0.0,0.0,5900.0,-0.0,-2755.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,1316.0,-0.0,-1316.0
t37,20792.19195030174,0.0,-7093.191950301742,0.0,0.0,0.0,0.0,-4064.0,-0.0,-9635.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,2751.0,-0.0,-2751.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,1313.0,-0.0,-1313.0
t38,19703.99566233741,0.0,-8043.039163169827,0.0,0.0,0.0,0.0,-2088.9564991675825,-0.0,-9572.0,1950.0435008324175,0.0,-0.0,0.0,0.0,0.0,0.0,783.9564991675825,-0.0,-2734.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,1305.0,-0.0,-1305.0
t39,17021.71919334172,0.0,-8043.039163169827,0.0,0.0,0.0,0.0,563.3199698281069,-0.0,-9542.0,4589.319969828107,0.0,-0.0,0.0,0.0,0.0,0.0,-1864.3199698281069,-0.0,-2725.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,1301.0,-0.0,-1301.0
t40,11620.771730669254,0.0,-6512.771730669254,0.0,0.0,0.0,0.0,4579.0,-0.0,-9687.0,23053.307092727977,0.0,-14387.307092727977,0.0,0.0,0.0,0.0,-5900.0,-0.0,-2766.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,1321.0,-0.0,-1321.0
t41,3650.3708255124534,0.0,-0.0,0.0,0.0,0.0,0.0,6945.629174487547,-0.0,-10596.0,8816.09421741302,0.0,-0.0,0.0,0.0,0.0,0.0,-5790.09421741302,-0.0,-3026.0,2599.5349570745275,0.0,-0.0,0.0,0.0,0.0,0.0,-1155.5349570745275,-0.0,-1444.0
t42,0.0,1615.0,-0.0,0.0,0.0,0.0,0.0,9900.0,-0.0,-11515.0,1804.9458474199057,7384.0541525800945,-0.0,0.0,0.0,0.0,0.0,-5900.0,-0.0,-3289.0,5570.0,0.0,-0.0,0.0,0.0,0.0,0.0,-4000.0,-0.0,-1570.0
t43,0.0,1514.0,-0.0,0.0,0.0,0.0,0.0,9900.0,-0.0,-11414.0,1376.18367010812,7783.81632989188,-0.0,0.0,0.0,0.0,0.0,-5900.0,-0.0,-3260.0,5556.0,0.0,-0.0,0.0,0.0,0.0,0.0,-4000.0,-0.0,-1556.0
t44,0.0,8043.039163169827,-0.0,0.0,0.0,0.0,0.0,3094.9608368301733,-0.0,-11138.0,463.4032174971419,1812.5576193330317,-0.0,0.0,0.0,0.0,0.0,905.0391631698267,-0.0,-3181.0,5519.0,0.0,-0.0,0.0,0.0,0.0,0.0,-4000.0,-0.0,-1519.0
t45,0.0,8043.039163169827,-0.0,0.0,0.0,0.0,0.0,2644.9608368301733,-0.0,-10688.0,1191.3629496585938,505.5978871715795,-0.0,0.0,0.0,0.0,0.0,1355.0391631698267,-0.0,-3052.0,5457.0,0.0,-0.0,0.0,0.0,0.0,0.0,-4000.0,-0.0,-1457.0
