Resource,MA_natural_gas_combined_cycle,CT_natural_gas_combined_cycle,ME_natural_gas_combined_cycle,MA_solar_pv,CT_onshore_wind,CT_solar_pv,ME_onshore_wind,MA_battery,CT_battery,ME_battery
t89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47703.59433571644,128703.71444230602,13453.892502459004
t90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42544.381121860526,118569.0989786395,12421.82841578629
t91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39422.64199142574,109010.76523013692,10224.881834317628
t92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35831.54784282992,99317.5264285949,10224.881834317628
t93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32427.329798655875,89808.52899330345,10224.881834317628
t94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31006.67762474283,81066.88040242075,10224.881834317628
t95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30679.50371169935,73413.47087609301,10224.881834317628
t96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30679.50371169935,66381.91896192131,10224.881834317628
t97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24069.032813870162,66381.91896192131,10224.881834317628
t98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24069.032813870162,60436.04229149067,10224.881834317628
t99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24069.032813870162,54857.508784709615,10224.881834317628
t100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24069.032813870162,49433.275361121414,10224.881834317628
t101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24069.032813870162,43691.11143738176,10224.881834317628
t102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24069.032813870162,35996.61163012471,10224.881834317628
t103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23557.07629213103,26542.49254850689,10224.881834317628
t104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14814.642419120351,23487.688607651828,10224.881834317628
t105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14814.642419120351,23487.688607651828,10224.881834317628
t106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17852.50516204953,23487.688607651828,10224.881834317628
t107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25252.10119216577,46576.83036430988,10224.881834317628
t108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32651.69722228201,70752.49606793065,12517.521834317628
t109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36273.213974039565,70752.49606793065,12517.521834317628
