Time_Index,Demand_MW_z1
877,139623
878,138314
879,136799
880,135237
881,135218
882,138527
883,148060
884,151966
885,149210
886,143352
887,135089
888,125603
889,118317
890,115122
891,114161
892,114419
893,117411
894,125931
895,141550
896,150730
897,148750
898,144775
899,140968
900,137030
901,134287
902,132155
903,130435
904,129269
905,129488
906,133085
907,144142
908,148159
909,146262
910,141547
911,133570
912,124504
913,117610
914,114499
915,113337
916,113459
917,116629
918,124788
919,140203
920,148540
921,146580
922,143445
923,141451
924,139053
925,137269
926,135953
927,134911
928,134135
929,135345
930,138459
931,148540
932,152129
933,149837
934,145228
935,137180
936,128055
937,121360
938,118355
939,117569
940,118396
941,121780
942,130469
943,146956
944,156737
945,154718
946,150808
947,147264
948,142849
949,139100
950,136022
951,133846
952,131776
953,132652
954,137177
955,148805
956,154427
957,153606
958,149681
959,141993
960,133624
961,127318
962,124292
963,123538
964,124053
965,126762
966,134356
967,148840
968,157405
969,155385
970,152813
971,150378
972,147596
973,145066
974,143059
975,141235
976,140236
977,140896
978,143756
979,150593
980,150348
981,146566
982,141634
983,135085
984,127236
985,120480
986,115775
987,113871
988,113553
989,115122
990,118692
991,124938
992,132228
993,140672
994,146677
995,148695
996,147366
997,144969
998,141946
999,139464
1000,138560
1001,140291
1002,146429
1003,159574
1004,166162
1005,166934
1006,166061
1007,163105
1008,158618
1009,154504
1010,153170
1011,153577
1012,155431
1013,158146
1014,162740
1015,169728
1016,177825
1017,184603
1018,184074
1019,176472
1020,166376
1021,157877
1022,150313
1023,143825
1024,139237
1025,138657
1026,144676
1027,160422
1028,170963
1029,173513
1030,171654
1031,166656
1032,160631
1033,156820
1034,156146
1035,157411
1036,160765
1037,166207
1038,177643
1039,196145
1040,204925
1041,197006
1042,183506
1043,171259
1044,160579
1045,152260
1046,145972
1047,141266
1048,138434
1049,139055
1050,143780
1051,156018
1052,161819
1053,160918
1054,156209
1055,148296
1056,138674
1057,131363
1058,127465
1059,126119
1060,126356
1061,128876
1062,136834
1063,151871
1064,159743
1065,155736
1066,152218
1067,149167
1068,146060
1069,142974
1070,140735
1071,138630
1072,137514
1073,137968
1074,140871
1075,148824
1076,151066
1077,147815
1078,141614
1079,132530
1080,122677
1081,115471
1082,111911
1083,110426
1084,110731
1085,113816
1086,122112
1087,137941
1088,146591
1089,144311
1090,140606
1091,137793
1092,135134
1093,132986
1094,131608
1095,130661
1096,130177
1097,130832
1098,133322
1099,141721
1100,145014
1101,142038
1102,136298
1103,127700
1104,117180
1105,109560
1106,105117
1107,103090
1108,102413
1109,104344
1110,110907
1111,124920
1112,133719
1113,133758
1114,134729
1115,136552
1116,137006
1117,136819
1118,136229
1119,135365
1120,134363
1121,134460
1122,136375
1123,142938
